----------------------------------------------------------------------------------------
Impl         Status       Mean(ms)       Median          Min          Max          Std
----------------------------------------------------------------------------------------
reference    OK             12.394        2.622        0.412      102.744       24.965
tilelang     OK             20.842        4.213        0.689      183.521       44.160
ascendc      OK             22.442        4.348        0.425      198.373       47.683
----------------------------------------------------------------------------------------
reference -> /home/Code/AscendOpGenAgent/output/20260424_125855/4_AggregateHidden/model.py
case[0] mean=6.534 ms, median=6.574 ms, samples(ms): [4.639, 8.796, 9.080, 8.858, 8.822, 6.561, 6.588, 4.124, 3.952, 3.917]
case[1] mean=4.470 ms, median=4.018 ms, samples(ms): [6.715, 4.096, 6.618, 3.795, 4.008, 4.157, 3.962, 4.027, 3.693, 3.625]
case[2] mean=4.519 ms, median=4.392 ms, samples(ms): [4.340, 4.389, 4.783, 4.825, 4.395, 4.264, 4.808, 4.856, 4.265, 4.265]
case[3] mean=5.855 ms, median=6.654 ms, samples(ms): [6.743, 7.352, 6.664, 6.767, 6.644, 6.693, 4.712, 4.372, 4.312, 4.291]
case[4] mean=2.824 ms, median=2.850 ms, samples(ms): [3.043, 2.569, 2.874, 2.838, 2.925, 2.832, 2.557, 2.837, 2.862, 2.906]
case[5] mean=0.609 ms, median=0.607 ms, samples(ms): [0.613, 0.607, 0.620, 0.607, 0.604, 0.593, 0.626, 0.603, 0.596, 0.622]
case[6] mean=0.502 ms, median=0.499 ms, samples(ms): [0.546, 0.498, 0.505, 0.491, 0.490, 0.504, 0.505, 0.490, 0.489, 0.499]
case[7] mean=24.350 ms, median=24.303 ms, samples(ms): [24.289, 24.348, 24.316, 24.354, 24.137, 24.241, 25.340, 23.983, 24.182, 24.316]
case[8] mean=0.612 ms, median=0.604 ms, samples(ms): [0.634, 0.653, 0.620, 0.637, 0.603, 0.580, 0.606, 0.596, 0.595, 0.591]
case[9] mean=1.117 ms, median=1.038 ms, samples(ms): [1.816, 1.036, 1.041, 1.023, 1.056, 1.036, 1.054, 1.047, 1.031, 1.026]
case[10] mean=4.997 ms, median=4.777 ms, samples(ms): [5.564, 6.885, 4.637, 4.765, 4.774, 4.781, 4.393, 4.607, 4.779, 4.791]
case[11] mean=101.098 ms, median=101.042 ms, samples(ms): [101.497, 100.831, 101.662, 101.106, 101.495, 100.573, 101.392, 100.719, 100.979, 100.723]
case[12] mean=101.293 ms, median=101.344 ms, samples(ms): [101.578, 101.216, 100.464, 101.575, 101.108, 101.602, 101.392, 101.199, 101.296, 101.505]
case[13] mean=101.545 ms, median=101.282 ms, samples(ms): [101.134, 101.006, 101.888, 101.052, 102.076, 101.226, 102.744, 101.763, 101.339, 101.224]
case[14] mean=101.244 ms, median=101.047 ms, samples(ms): [101.291, 100.951, 101.556, 100.850, 101.295, 100.876, 101.112, 102.675, 100.851, 100.982]
case[15] mean=0.434 ms, median=0.433 ms, samples(ms): [0.432, 0.439, 0.449, 0.437, 0.430, 0.425, 0.441, 0.428, 0.435, 0.426]
case[16] mean=0.429 ms, median=0.427 ms, samples(ms): [0.424, 0.428, 0.436, 0.423, 0.424, 0.437, 0.440, 0.426, 0.427, 0.427]
case[17] mean=0.430 ms, median=0.425 ms, samples(ms): [0.424, 0.423, 0.422, 0.441, 0.424, 0.431, 0.438, 0.445, 0.422, 0.426]
case[18] mean=0.429 ms, median=0.425 ms, samples(ms): [0.425, 0.457, 0.425, 0.435, 0.428, 0.420, 0.431, 0.423, 0.422, 0.419]
case[19] mean=22.936 ms, median=25.813 ms, samples(ms): [25.825, 26.507, 18.816, 17.365, 25.801, 26.551, 18.176, 17.306, 25.948, 27.062]
case[20] mean=25.707 ms, median=26.467 ms, samples(ms): [26.699, 26.834, 26.821, 26.513, 18.713, 25.618, 26.669, 26.422, 26.400, 26.387]
case[21] mean=25.233 ms, median=26.874 ms, samples(ms): [26.861, 19.596, 17.551, 26.093, 27.541, 26.886, 26.852, 26.943, 27.057, 26.945]
case[22] mean=26.569 ms, median=26.501 ms, samples(ms): [26.766, 26.990, 26.585, 26.413, 26.432, 26.634, 26.433, 26.526, 26.439, 26.476]
case[23] mean=0.430 ms, median=0.428 ms, samples(ms): [0.440, 0.450, 0.427, 0.433, 0.428, 0.424, 0.419, 0.436, 0.427, 0.420]
case[24] mean=0.427 ms, median=0.425 ms, samples(ms): [0.429, 0.428, 0.425, 0.428, 0.423, 0.425, 0.421, 0.446, 0.424, 0.425]
case[25] mean=0.517 ms, median=0.514 ms, samples(ms): [0.553, 0.517, 0.512, 0.522, 0.507, 0.506, 0.505, 0.521, 0.518, 0.508]
case[26] mean=0.518 ms, median=0.516 ms, samples(ms): [0.521, 0.539, 0.521, 0.542, 0.511, 0.508, 0.504, 0.524, 0.508, 0.505]
case[27] mean=34.621 ms, median=34.422 ms, samples(ms): [36.297, 34.545, 34.370, 34.473, 35.151, 34.213, 34.209, 34.146, 34.617, 34.186]
case[28] mean=34.455 ms, median=34.423 ms, samples(ms): [34.611, 34.480, 34.376, 34.422, 34.424, 34.666, 34.397, 34.518, 34.406, 34.254]
case[29] mean=34.928 ms, median=34.753 ms, samples(ms): [34.958, 34.831, 34.743, 34.764, 34.611, 34.637, 35.032, 34.544, 34.422, 36.735]
case[30] mean=34.662 ms, median=34.584 ms, samples(ms): [35.163, 34.589, 34.487, 35.020, 34.646, 34.441, 34.339, 34.984, 34.578, 34.367]
case[31] mean=0.426 ms, median=0.422 ms, samples(ms): [0.441, 0.421, 0.419, 0.430, 0.422, 0.417, 0.420, 0.429, 0.438, 0.420]
case[32] mean=0.471 ms, median=0.424 ms, samples(ms): [0.435, 0.420, 0.892, 0.431, 0.423, 0.420, 0.418, 0.431, 0.425, 0.419]
case[33] mean=0.429 ms, median=0.424 ms, samples(ms): [0.435, 0.420, 0.423, 0.456, 0.440, 0.420, 0.425, 0.430, 0.416, 0.422]
case[34] mean=0.426 ms, median=0.421 ms, samples(ms): [0.442, 0.416, 0.419, 0.421, 0.434, 0.417, 0.417, 0.454, 0.421, 0.422]
case[35] mean=0.424 ms, median=0.421 ms, samples(ms): [0.464, 0.425, 0.422, 0.417, 0.427, 0.416, 0.412, 0.422, 0.421, 0.418]
case[36] mean=0.425 ms, median=0.422 ms, samples(ms): [0.434, 0.422, 0.422, 0.420, 0.445, 0.421, 0.419, 0.426, 0.420, 0.424]
case[37] mean=0.428 ms, median=0.425 ms, samples(ms): [0.438, 0.423, 0.423, 0.421, 0.431, 0.420, 0.426, 0.446, 0.418, 0.428]
case[38] mean=0.426 ms, median=0.420 ms, samples(ms): [0.450, 0.426, 0.419, 0.417, 0.433, 0.418, 0.421, 0.417, 0.438, 0.418]
case[39] mean=0.423 ms, median=0.420 ms, samples(ms): [0.434, 0.423, 0.417, 0.422, 0.434, 0.418, 0.416, 0.418, 0.432, 0.417]
case[40] mean=0.421 ms, median=0.420 ms, samples(ms): [0.435, 0.420, 0.416, 0.415, 0.426, 0.419, 0.424, 0.416, 0.427, 0.416]
case[41] mean=0.424 ms, median=0.419 ms, samples(ms): [0.445, 0.419, 0.415, 0.418, 0.425, 0.420, 0.430, 0.416, 0.437, 0.417]
case[42] mean=0.422 ms, median=0.419 ms, samples(ms): [0.436, 0.419, 0.419, 0.423, 0.437, 0.417, 0.412, 0.414, 0.429, 0.413]
case[43] mean=4.570 ms, median=4.560 ms, samples(ms): [4.578, 4.735, 4.533, 4.530, 4.537, 4.581, 4.586, 4.581, 4.498, 4.542]
case[44] mean=4.616 ms, median=4.584 ms, samples(ms): [4.476, 4.458, 4.906, 4.618, 4.831, 4.553, 4.532, 4.618, 4.607, 4.561]
