----------------------------------------------------------------------------------------
Impl         Status       Mean(ms)       Median          Min          Max          Std
----------------------------------------------------------------------------------------
reference    OK              3.527        1.594        0.407       15.219        4.024
tilelang     ERROR               -            -            -            -            -
ascendc      OK             18.542       12.970        0.675       84.597       15.071
----------------------------------------------------------------------------------------
reference -> /home/Code/AscendOpGenAgent/output/20260423_181735/6_CausalConv1dFn/model.py
case[0] mean=2.626 ms, median=2.155 ms, samples(ms): [2.445, 4.156, 4.638, 2.224, 2.134, 2.171, 2.139, 2.098, 2.137, 2.116]
case[1] mean=7.254 ms, median=6.989 ms, samples(ms): [9.312, 7.673, 7.032, 6.887, 6.823, 6.790, 6.834, 7.035, 7.203, 6.947]
case[2] mean=11.620 ms, median=11.369 ms, samples(ms): [11.554, 11.556, 11.423, 12.211, 11.292, 11.315, 11.307, 11.135, 13.100, 11.312]
case[3] mean=2.006 ms, median=2.007 ms, samples(ms): [1.968, 2.000, 2.020, 2.031, 2.006, 1.953, 2.008, 1.983, 2.059, 2.034]
case[4] mean=5.185 ms, median=4.340 ms, samples(ms): [4.208, 4.192, 6.545, 6.596, 6.584, 6.589, 4.425, 4.238, 4.254, 4.221]
case[5] mean=11.523 ms, median=11.382 ms, samples(ms): [12.011, 11.519, 11.343, 11.389, 11.373, 12.200, 11.291, 11.344, 11.383, 11.381]
case[6] mean=2.985 ms, median=2.350 ms, samples(ms): [2.325, 2.278, 4.483, 4.551, 4.560, 2.385, 2.370, 2.302, 2.330, 2.264]
case[7] mean=8.144 ms, median=7.370 ms, samples(ms): [10.930, 10.833, 8.188, 7.479, 7.296, 7.326, 7.321, 7.395, 7.345, 7.329]
case[8] mean=12.549 ms, median=12.231 ms, samples(ms): [15.219, 12.393, 12.191, 12.250, 12.244, 12.391, 12.217, 12.199, 12.195, 12.189]
case[9] mean=1.593 ms, median=1.456 ms, samples(ms): [1.426, 2.842, 1.483, 1.417, 1.429, 1.438, 1.412, 1.525, 1.479, 1.474]
case[10] mean=4.714 ms, median=3.506 ms, samples(ms): [7.007, 3.536, 3.262, 3.238, 6.674, 3.452, 6.530, 3.475, 6.501, 3.460]
case[11] mean=8.556 ms, median=9.190 ms, samples(ms): [4.821, 9.076, 9.353, 10.448, 4.841, 9.164, 9.116, 9.216, 10.293, 9.237]
case[12] mean=12.699 ms, median=12.583 ms, samples(ms): [12.550, 13.803, 12.567, 12.646, 12.675, 12.611, 12.500, 12.508, 12.534, 12.599]
case[13] mean=1.814 ms, median=1.801 ms, samples(ms): [1.847, 1.792, 1.961, 1.795, 1.824, 1.806, 1.828, 1.772, 1.753, 1.760]
case[14] mean=13.720 ms, median=13.560 ms, samples(ms): [13.620, 13.531, 13.704, 13.494, 13.515, 13.563, 13.557, 15.095, 13.589, 13.527]
case[15] mean=12.740 ms, median=12.645 ms, samples(ms): [13.872, 12.688, 12.643, 12.647, 12.605, 12.693, 12.590, 12.511, 12.473, 12.680]
case[16] mean=2.123 ms, median=2.118 ms, samples(ms): [2.116, 2.085, 2.120, 2.080, 2.078, 2.241, 2.137, 2.114, 2.119, 2.144]
case[17] mean=0.444 ms, median=0.442 ms, samples(ms): [0.444, 0.442, 0.454, 0.442, 0.439, 0.441, 0.448, 0.440, 0.441, 0.445]
case[18] mean=0.439 ms, median=0.438 ms, samples(ms): [0.438, 0.438, 0.440, 0.435, 0.436, 0.433, 0.458, 0.435, 0.437, 0.438]
case[19] mean=1.359 ms, median=1.358 ms, samples(ms): [1.374, 1.359, 1.380, 1.326, 1.355, 1.377, 1.363, 1.355, 1.344, 1.358]
case[20] mean=1.308 ms, median=1.311 ms, samples(ms): [1.335, 1.292, 1.313, 1.308, 1.316, 1.289, 1.311, 1.312, 1.289, 1.313]
case[21] mean=1.323 ms, median=1.320 ms, samples(ms): [1.322, 1.320, 1.317, 1.331, 1.320, 1.315, 1.335, 1.316, 1.315, 1.344]
case[22] mean=1.335 ms, median=1.333 ms, samples(ms): [1.358, 1.322, 1.346, 1.379, 1.304, 1.305, 1.322, 1.328, 1.339, 1.343]
case[23] mean=1.597 ms, median=1.580 ms, samples(ms): [1.620, 1.584, 1.648, 1.628, 1.626, 1.572, 1.573, 1.567, 1.573, 1.577]
case[24] mean=1.577 ms, median=1.562 ms, samples(ms): [1.563, 1.618, 1.553, 1.561, 1.600, 1.561, 1.586, 1.552, 1.618, 1.556]
case[25] mean=0.439 ms, median=0.435 ms, samples(ms): [0.435, 0.456, 0.432, 0.442, 0.434, 0.435, 0.433, 0.445, 0.436, 0.447]
case[26] mean=0.459 ms, median=0.437 ms, samples(ms): [0.434, 0.440, 0.437, 0.536, 0.439, 0.436, 0.435, 0.559, 0.436, 0.435]
case[27] mean=0.498 ms, median=0.498 ms, samples(ms): [0.503, 0.492, 0.503, 0.503, 0.512, 0.494, 0.491, 0.504, 0.487, 0.490]
case[28] mean=0.505 ms, median=0.502 ms, samples(ms): [0.501, 0.529, 0.519, 0.504, 0.495, 0.488, 0.492, 0.504, 0.494, 0.521]
