case_index,ref_mean_ms,ref_median_ms,ref_min_ms,ref_max_ms,ref_stdev_ms,tl_mean_ms,tl_median_ms,tl_min_ms,tl_max_ms,tl_stdev_ms,ac_mean_ms,ac_median_ms,ac_min_ms,ac_max_ms,ac_stdev_ms,ac_vs_ref_speedup,tl_vs_ref_speedup
0,7.8191,7.7930,7.6863,8.1528,0.1309,5.6638,5.6734,5.5799,5.7122,0.0392,6.3899,6.3872,6.3087,6.4841,0.0630,1.224,1.381
1,7.6875,7.6492,7.6177,8.0599,0.1320,5.6405,5.6434,5.6031,5.6862,0.0275,6.3826,6.3654,6.3145,6.4718,0.0554,1.204,1.363
2,7.6409,7.5488,7.3943,8.2451,0.2510,5.6786,5.6731,5.6334,5.7812,0.0444,6.4032,6.4112,6.3312,6.4959,0.0560,1.193,1.346
3,8.5257,7.6311,7.4580,11.9785,1.7540,5.7070,5.6769,5.6107,6.0519,0.1255,6.5618,6.4311,6.3249,7.8254,0.4474,1.299,1.494
4,7.9326,7.8254,7.4856,8.7464,0.4428,5.6677,5.6511,5.5948,5.7267,0.0439,6.3902,6.3985,6.2955,6.4462,0.0516,1.241,1.400
5,7.5442,7.5308,7.4045,7.6800,0.0839,5.7571,5.7178,5.6458,6.2772,0.1870,6.4194,6.4168,6.3462,6.4986,0.0525,1.175,1.310
6,7.3657,7.3492,7.2710,7.4985,0.0746,6.0091,5.8894,5.7710,6.4905,0.2674,6.4624,6.4120,6.3501,6.7408,0.1450,1.140,1.226
7,7.5027,7.5111,7.4057,7.6198,0.0693,5.7317,5.7476,5.6353,5.8082,0.0578,6.4563,6.4578,6.3479,6.5247,0.0539,1.162,1.309
8,7.4040,7.3224,7.2482,7.9222,0.2046,5.6965,5.6861,5.6331,5.7722,0.0511,6.5376,6.4613,6.3682,7.0780,0.2194,1.133,1.300
9,7.6124,7.5480,7.3903,8.1606,0.2150,5.7121,5.7094,5.6457,5.7997,0.0516,6.4206,6.4056,6.3438,6.5112,0.0558,1.186,1.333
10,7.8699,7.9312,7.3328,8.6204,0.3844,5.7181,5.7176,5.6903,5.7663,0.0236,6.4353,6.4377,6.3380,6.5395,0.0578,1.223,1.376
11,7.6123,7.5280,7.3841,8.6008,0.3545,5.7150,5.7135,5.6562,5.7769,0.0350,10.3767,10.8048,7.0522,13.1504,2.1007,0.734,1.332
12,7.0378,6.9276,6.8531,8.0734,0.3681,5.7190,5.6770,5.5807,5.9532,0.1237,6.4152,6.4157,6.3219,6.6381,0.0902,1.097,1.231
13,9.4776,7.4492,7.3363,21.6535,4.6912,5.6911,5.6751,5.5987,5.8813,0.0828,7.9273,6.8170,6.2985,11.6277,2.1509,1.196,1.665
14,7.3793,7.3654,7.2862,7.5140,0.0706,5.6307,5.6174,5.5802,5.6870,0.0366,6.3662,6.3785,6.2930,6.4192,0.0424,1.159,1.311
15,7.3193,7.3368,7.1885,7.4067,0.0688,5.6390,5.6266,5.5797,5.7301,0.0472,7.3963,6.4548,6.3472,11.8302,1.9818,0.990,1.298
16,7.5890,7.5541,7.4200,7.8855,0.1420,5.6204,5.6088,5.5610,5.7113,0.0457,6.3642,6.3798,6.2808,6.4116,0.0468,1.192,1.350
17,7.8335,7.6256,7.5053,9.9137,0.7344,5.6337,5.6172,5.5761,5.7037,0.0440,7.5443,6.4625,6.3527,16.9818,3.3186,1.038,1.390
18,7.4815,7.4826,7.4204,7.5728,0.0475,5.6412,5.6423,5.5902,5.6883,0.0351,6.3888,6.4035,6.2992,6.4354,0.0470,1.171,1.326
19,7.4702,7.4653,7.4191,7.5679,0.0429,5.6435,5.6550,5.5783,5.6860,0.0356,6.3948,6.4039,6.3019,6.4964,0.0661,1.168,1.324
20,7.5400,7.5122,7.4550,7.7294,0.0938,5.6316,5.6344,5.5550,5.6710,0.0368,6.4168,6.4138,6.3229,6.5176,0.0720,1.175,1.339
21,8.1990,7.3231,7.1010,14.7460,2.3251,5.6767,5.6679,5.6397,5.7647,0.0380,6.4060,6.4091,6.3133,6.5134,0.0632,1.280,1.444
22,8.2393,7.6166,7.4271,11.6914,1.3371,5.6980,5.6907,5.6294,5.8532,0.0648,6.4006,6.4059,6.2984,6.4987,0.0674,1.287,1.446
23,7.4644,7.4541,7.3408,7.6671,0.1055,5.6648,5.6602,5.6212,5.7195,0.0323,6.3912,6.4022,6.2900,6.5066,0.0706,1.168,1.318
24,13.6923,13.5702,13.4694,14.6281,0.3468,11.1414,11.0627,10.8368,11.9089,0.2972,13.8586,12.8244,12.6987,19.8211,2.2531,0.988,1.229
25,13.4687,13.4672,13.3469,13.6000,0.0828,10.8062,10.7884,10.7063,10.9583,0.0832,12.8463,12.8060,12.6757,13.0743,0.1393,1.048,1.246
26,13.4979,13.4933,13.3867,13.6378,0.0789,10.7498,10.7729,10.6086,10.8371,0.0744,12.4809,12.4716,12.2593,12.7376,0.1448,1.081,1.256
27,12.6432,12.6281,12.5836,12.7381,0.0530,11.2472,10.9880,10.8110,13.5927,0.8397,12.9007,12.8862,12.6371,13.0709,0.1417,0.980,1.124
28,14.0359,13.7217,13.5574,16.4063,0.8536,10.9703,10.7836,10.6479,12.4750,0.5519,12.4220,12.4095,12.2004,12.6822,0.1502,1.130,1.279
29,13.8497,13.6712,13.4657,14.8594,0.4363,10.9586,10.9095,10.7543,11.2513,0.1742,12.9676,12.9154,12.7403,13.2245,0.1778,1.068,1.264
30,13.8302,13.6056,13.2838,15.4461,0.6621,11.2632,11.2734,11.1484,11.3326,0.0551,12.5466,12.5318,12.2889,12.8228,0.1617,1.102,1.228
31,13.3797,13.3410,13.2547,13.5824,0.1098,10.9547,10.8173,10.6329,11.8852,0.3511,12.8891,12.8689,12.6796,13.0710,0.1358,1.038,1.221
32,13.4202,13.3476,13.2568,13.8909,0.2072,11.1865,11.1477,11.0193,11.7087,0.1991,12.3629,12.3616,12.1225,12.6330,0.1411,1.086,1.200
33,13.2940,13.2728,12.9882,13.6939,0.2010,10.7831,10.7737,10.6697,10.9728,0.1028,12.8432,12.8349,12.6100,13.0318,0.1466,1.035,1.233
34,13.5294,13.4765,13.1426,14.0960,0.3065,11.1238,11.0881,10.9692,11.4272,0.1323,12.3301,12.3472,12.0883,12.5451,0.1359,1.097,1.216
35,13.2750,13.2036,13.1774,13.8672,0.2103,10.7728,10.7456,10.6649,11.0319,0.1049,13.0958,12.9791,12.8229,13.9289,0.3458,1.014,1.232
36,0.4053,0.4066,0.3982,0.4115,0.0040,1.0035,1.0004,0.9829,1.0248,0.0124,0.8730,0.8696,0.8596,0.8965,0.0122,0.464,0.404
37,0.4303,0.3989,0.3924,0.5117,0.0502,0.9851,0.9848,0.9662,1.0006,0.0104,0.8290,0.8322,0.8100,0.8508,0.0132,0.519,0.437
38,0.4543,0.4082,0.3804,0.7163,0.1064,0.9709,0.9680,0.9600,0.9845,0.0082,0.8398,0.8385,0.8252,0.8572,0.0119,0.541,0.468
39,0.2278,0.2241,0.2213,0.2530,0.0095,0.6808,0.6769,0.6694,0.7027,0.0104,0.4579,0.4569,0.4549,0.4679,0.0037,0.498,0.335
40,0.2236,0.2224,0.2194,0.2311,0.0037,0.6861,0.6808,0.6730,0.7125,0.0136,0.4606,0.4607,0.4550,0.4662,0.0039,0.486,0.326
41,0.2230,0.2232,0.2183,0.2284,0.0033,0.6745,0.6735,0.6665,0.6857,0.0054,0.4592,0.4566,0.4531,0.4779,0.0076,0.486,0.331
42,85.4028,80.3355,78.4147,109.9368,11.5460,135.3733,135.5420,134.4797,136.0457,0.6004,157.4569,158.1221,155.3427,159.0532,1.6688,0.542,0.631
43,4.2753,2.4730,2.1940,16.5565,4.4139,6.6157,6.6171,6.5521,6.6940,0.0512,7.3774,7.4097,7.2592,7.4452,0.0672,0.580,0.646
44,66.1959,66.2226,65.5166,66.6815,0.3743,100.8354,100.8841,100.0684,101.7312,0.6058,118.3733,119.0517,116.6097,119.1989,1.1395,0.559,0.656
45,0.2244,0.2228,0.2142,0.2397,0.0087,0.7846,0.7817,0.7727,0.8102,0.0120,0.5195,0.5183,0.5106,0.5363,0.0078,0.432,0.286
46,0.2304,0.2283,0.2246,0.2416,0.0057,0.7978,0.7949,0.7912,0.8224,0.0093,0.5138,0.5122,0.5082,0.5267,0.0051,0.448,0.289
47,0.2240,0.2228,0.2192,0.2348,0.0049,0.8006,0.7992,0.7899,0.8152,0.0083,0.5106,0.5096,0.5059,0.5199,0.0044,0.439,0.280
48,0.3783,0.3799,0.3628,0.3941,0.0100,0.9109,0.9098,0.8941,0.9364,0.0148,0.7499,0.7501,0.7426,0.7575,0.0044,0.504,0.415
49,0.2908,0.2838,0.2793,0.3226,0.0155,0.7572,0.7563,0.7430,0.7788,0.0110,0.5722,0.5706,0.5663,0.5846,0.0053,0.508,0.384
50,0.3799,0.3737,0.3670,0.4326,0.0191,0.9002,0.8983,0.8919,0.9233,0.0094,0.7532,0.7516,0.7447,0.7695,0.0080,0.504,0.422
51,0.2246,0.2230,0.2188,0.2407,0.0067,0.6839,0.6823,0.6768,0.6959,0.0062,0.4892,0.4855,0.4779,0.5331,0.0159,0.459,0.328
52,0.2253,0.2248,0.2178,0.2388,0.0062,0.6862,0.6819,0.6793,0.7032,0.0083,0.4881,0.4856,0.4806,0.5031,0.0069,0.462,0.328
53,0.2303,0.2249,0.2187,0.2614,0.0129,0.6863,0.6853,0.6741,0.7035,0.0077,0.4905,0.4888,0.4801,0.5084,0.0076,0.470,0.336
54,78.7257,78.5911,77.9823,80.8249,0.8221,135.2011,135.1437,133.4224,137.6018,1.2220,157.0304,156.5974,155.2512,158.8929,1.6026,0.501,0.582
55,1.3291,1.3029,1.2674,1.4732,0.0754,3.5587,3.5611,3.5464,3.5689,0.0091,3.8393,3.8345,3.7892,3.8977,0.0342,0.346,0.373
56,83.5529,82.1171,81.4363,91.4415,3.2586,133.4778,133.6024,131.9611,134.5369,0.8014,155.4640,156.2473,153.2985,157.3359,1.6469,0.537,0.626
57,0.4803,0.4011,0.3683,0.8176,0.1772,1.5660,1.5682,1.5462,1.5823,0.0118,1.4625,1.4610,1.4370,1.5021,0.0188,0.328,0.307
58,0.3597,0.3596,0.3264,0.4116,0.0262,1.1656,1.1647,1.1491,1.2088,0.0177,0.9244,0.9235,0.9134,0.9353,0.0068,0.389,0.309
59,0.4097,0.4029,0.3910,0.4425,0.0190,1.5233,1.5233,1.5021,1.5420,0.0128,1.3485,1.3437,1.3331,1.3803,0.0138,0.304,0.269
60,0.7099,0.7078,0.6998,0.7232,0.0085,1.7540,1.7437,1.7089,1.8772,0.0485,1.6023,1.6061,1.5765,1.6357,0.0191,0.443,0.405
61,0.6863,0.6861,0.6779,0.6939,0.0050,1.7386,1.7424,1.6885,1.7590,0.0203,1.5930,1.5932,1.5535,1.6385,0.0240,0.431,0.395
62,0.8102,0.7848,0.7570,0.9440,0.0644,1.7607,1.7504,1.6824,1.8680,0.0535,1.5900,1.5909,1.5414,1.6114,0.0195,0.510,0.460
63,0.5836,0.5807,0.5742,0.6123,0.0108,1.1983,1.1946,1.1702,1.2337,0.0179,0.9861,0.9825,0.9676,1.0078,0.0138,0.592,0.487
64,0.5545,0.5513,0.5474,0.5728,0.0076,1.8117,1.2851,1.2114,5.8555,1.4314,1.0049,1.0118,0.9811,1.0188,0.0140,0.552,0.306
